,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
138,ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,VIGAN,With License,Level 1,,17.558960199999998,120.38367749999999,,12934000,0
139,THE MEDICAL CITY PANGASINAN,Private,,REGION I (ILOCOS REGION),Pangasinan,DAGUPAN,With License,Level 2,75.0,16.0462825,120.3405206,,15518000,0
140,EASTERN PANGASINAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,TAYUG,With License,Level 1,75.0,16.0195269,120.74235890000001,,15543000,0
141,ASINGAN COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,ASINGAN,With License,Level 1,15.0,16.0168366,120.67472009999999,,15506000,0
142,CANDON ST. MARTIN DE PORRES HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CANDON,With License,Level 1,44.0,17.192905,120.446905,,12906000,0
143,DOÑA JOSEFA E. MARCOS DISTRICT HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Ilocos Norte,MARCOS,With License,Level 1,25.0,18.0430241,120.6788532,,12813000,0
144,RANADA GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 1,20.0,18.1965887,120.5921338,,12812000,0
145,ESPINOZA-ROSARIO HOSPITAL,Private, ,REGION I (ILOCOS REGION),Pangasinan,MALASIQUI,Without License,0,,15.918001,120.416372,,15524000,0
146,PANGASINAN DOCTORS HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SAN CARLOS,With License,Level 2,37.0,15.939963,120.34543190000001,,15532000,0
147,SUERO GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,CABUGAO,With License,Level 1,34.0,17.7937495,120.4543939,,12905000,0
148,BOLINAO COMMUNITY HOSPITAL,Government,Local Government Unit,REGION I (ILOCOS REGION),Pangasinan,BOLINAO,With License,Level 1,25.0,16.2678271,119.87884199999999,,15514000,0
149,KARMELLI CLINIC AND HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Norte,LAOAG,With License,Level 1,,18.192057000000002,120.61044550000001,,12812000,0
150,NORTHERN LUZON ADVENTIST HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,SISON,With License,Level 1,18.0,16.1933585,120.5151916,,15541000,0
151,MBP - BLESSED TRINITY GENERAL HOSPITAL,Private,,REGION I (ILOCOS REGION),Pangasinan,MANGATAREM,With License,Level 1,18.0,15.795905300000001,120.28779080000001,,15527000,0
152,NORTHSIDE DOCTORS HOSPITAL,Private,,REGION I (ILOCOS REGION),Ilocos Sur,BANTAY,With License,Level 2,100.0,17.603414899999997,120.39375449999999,,12903000,0
153,LASAM DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,LASAM,With License,Level 1,25.0,18.0634751,121.6096294,,21517000,0
154,MATILDE A. OLIVAS DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,CAMALANIUGAN,With License,Level 1,25.0,18.2504996,121.6869406,,21510000,0
155,DUMLAO HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ROXAS,With License,Level 1,15.0,17.120383,121.621117,,23126000,0
156,DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ILAGAN,With License,Level 1,17.0,17.1462961,121.8903416,,23114000,0
157,CAUAYAN MEDICAL SPECIALISTS HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,CAUAYAN,With License,Level 1,95.0,16.936217499999998,121.77034270000001,,23108000,0
158,LYCEUM OF APARRI HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Cagayan,APARRI,With License,Level 1,36.0,18.346760800000002,121.6432499,,21505000,0
159,GOD'S WILL MEDICAL HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,CAUAYAN,With License,Level 1,12.0,16.9383297,121.769524,,23108000,0
160,PADRON-TIBIO MEDICAL CLINIC,Private,,REGION II (CAGAYAN VALLEY),Isabela,AURORA,With License,Level 1,16.0,16.991480399999997,121.63647659999998,,23103000,0
161,TUGUEGARAO CITY PEOPLES GENERAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 1,68.0,17.612887100000002,121.72940559999999,,21529000,0
162,"ADVENTIST HOSPITAL - SANTIAGO CITY, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 2,50.0,16.6972697,121.56694809999999,,23135000,0
163,MADDELA DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Quirino,MADDELA,With License,Level 1,39.0,16.3286801,121.65894779999999,,25704000,0
164,"CHARLES W. SELBY MEMORIAL HOSPITAL, INC.",Private,,REGION II (CAGAYAN VALLEY),Cagayan,APARRI,With License,Level 1,35.0,18.35602,121.636121,,21505000,0
165,NUESTRA SEÑORA DE PIAT DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,PIAT,With License,Level 1,40.0,17.7755594,121.50140800000001,,21520000,0
166,CAGAYAN VALLEY MEDICAL CENTER,Government,Department Of Health,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 3,500.0,17.656567300000003,121.7466281,,21529000,0
167,"CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 2,,16.6925894,121.55043559999999,,23135000,0
168,"JAVONILLO HOSPITAL, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,CORDON,With License,Level 1,17.0,16.67142,121.46187900000001,,23109000,0
169,MANUEL A. ROXAS DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,ROXAS,With License,Level 1,50.0,17.085697600000003,121.61739340000001,,23126000,0
170,REGION II TRAUMA AND MEDICAL CENTER,Government,Department Of Health,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,BAYOMBONG,With License,Level 3,500.0,16.4830758,121.13427759999999,,25005000,0
171,DAYOS-PASCUAL MEDICAL CLINIC,Private,,REGION II (CAGAYAN VALLEY),Isabela,ROXAS,With License,Level 1,17.0,17.121903,121.620147,,23126000,0
172,LT. TIDANG MEMORIAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,KAYAPA,With License,Level 1,15.0,16.3616919,120.88879109999999,,25010000,0
173,ECHAGUE DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,ECHAGUE,With License,Level 1,25.0,16.6897496,121.64366159999999,,23112000,0
174,SOUTHERN ISABELA MEDICAL CENTER,Government,Department Of Health,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 3,350.0,16.680089000000002,121.546748,,23135000,0
175,ALFONSO PONCE ENRILE MEMORIAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,GONZAGA,With License,Level 1,25.0,18.2577872,121.99689450000001,,21514000,0
176,PUYAOAN GENERAL HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Cagayan,CAMALANIUGAN,With License,Level 1,12.0,18.263558,121.68733300000001,,21510000,0
177,MANANGO HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ALICIA,With License,Level 1,14.0,16.7732,121.698775,,23101000,0
178,"SOLLER GENERAL HOSPITAL, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,ROXAS,With License,Level 1,20.0,17.119598999999997,121.62193799999999,,23126000,0
179,NUEVA VIZCAYA PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,BAMBANG,With License,Level 1,173.0,16.3703871,121.0996081,,25004000,0
180,DR. ESTER R. GARCIA MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Isabela,CAUAYAN,With License,Level 1,87.0,16.935639000000002,121.762703,,23108000,0
181,DUPAX DISTRICT HOSPITAL,Government,,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,DUPAX DEL NORTE,With License,Level 1,17.0,16.3069594,121.10090020000001,,25007000,0
182,BALLESTEROS DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,BALLESTEROS,With License,Level 1,25.0,18.417719,121.5010683,,21507000,0
183,DR. DOMINGO S. DE LEON GENERAL HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 1,32.0,17.6102772,121.72825490000001,,21529000,0
184,FLORES MEMORIAL MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 1,40.0,16.69031,121.550979,,23135000,0
185,HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,Private,,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 1,50.0,17.615735600000004,121.7258768,,21529000,0
186,MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE,Private,,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,SOLANO,With License,Level 1,20.0,16.516680599999997,121.1783423,,25013000,0
187,NORTHERN CAGAYAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,SANCHEZ-MIRA,With License,0,17.0,18.605173899999997,121.1724105,,21522000,0
188,CABATUAN FAMILY CLINIC AND HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,CABATUAN,With License,Level 1,20.0,16.9545366,121.66998500000001,,23107000,0
189,LUCAS-PAGUILA MEDICAL CLINIC AND HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ALICIA,With License,Level 1,39.0,16.783321,121.699729,,23101000,0
190,"ST. PAUL HOSPITAL OF TUGUEGARAO INC,",Private,,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 2,250.0,17.614047,121.707546,,21529000,0
191,TUAO DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,TUAO,With License,Level 1,25.0,17.750084,121.4516124,,21528000,0
192,BATANES GENERAL HOSPITAL,Government,Department Of Health,REGION II (CAGAYAN VALLEY),Batanes,BASCO,With License,Level 1,75.0,20.450086399999996,121.9704646,,20901000,0
193,ISABELA DOCTORS GENERAL HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ILAGAN,With License,Level 1,79.0,17.1179786,121.86346599999999,,23114000,0
194,SAN MARIANO COMMUNITY HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,SAN MARIANO,With License,Level 1,10.0,16.9840274,122.00121409999998,,23131000,0
195,TOMAS-CACAL MEDICAL CLINIC AND HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,ALICIA,With License,Level 1,30.0,16.7785538,121.6951878,,23101000,0
196,PLTCI-LUIS A. TIAM MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,SOLANO,With License,Level 2,60.0,16.5347514,121.22442109999999,,25013000,0
197,FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Cagayan,SANTA ANA,With License,Level 1,17.0,14.5773483,121.0115303,,21523000,0
198,SABTANG COMMUNITY HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Batanes,SABTANG,Without License,0,,20.305439899999996,121.84487450000002,,20905000,0
199,QUIRINO PROVINCIAL MEDICAL CENTER,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Quirino,CABARROGUIS,With License,Level 1,100.0,16.5149657,121.5378159,,25702000,0
200,PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,JONES,With License,Level 1,10.0,16.5695633,121.69874740000002,,23115000,0
201,"DE VERA MEDICAL CENTER, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 2,50.0,16.6949365,121.55412079999999,,23135000,0
202,CAUAYAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,CAUAYAN,With License,Level 1,50.0,9.9718938,122.587359,,23108000,0
203,MILAGROS ALBANO DISTRICT HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,CABAGAN,With License,Level 1,50.0,17.425279999999997,121.77831850000001,,23106000,0
204,A.M. YUMENA GENERAL HOSPITAL INC.,Private,,REGION II (CAGAYAN VALLEY),Isabela,ROXAS,With License,Level 1,14.0,17.1199181,121.6154431,,23126000,0
205,APARRI PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Cagayan,APARRI,With License,Level 1,50.0,18.356807,121.64198400000001,,21505000,0
206,GOV. FAUSTINO N. DY SR. MEMORIAL HOSPITAL,Government,Local Government Unit,REGION II (CAGAYAN VALLEY),Isabela,ILAGAN,With License,Level 1,100.0,17.132185999999997,121.868816,,23114000,0
207,DR. ATANACIO T. DAYRIT JR. MEDICAL HOSPITAL,Private, ,REGION II (CAGAYAN VALLEY),Isabela,CABATUAN,Without License,0,,16.9532825,121.6707284,,23107000,0
208,"DR. RONALD P. GUZMAN MEDICAL CENTER, INC.",Private,,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 2,100.0,17.6495406,121.75589409999999,,21529000,0
209,NEW SAMARITAN MEDICAL AND PEDIATRIC CLINIC,Private, ,REGION II (CAGAYAN VALLEY),Isabela,SAN MATEO,Without License,0,,16.8848,121.588168,,23132000,0
210,RENMAR SPECIALISTS HOSPITAL,Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 1,10.0,16.687268,121.5427797,,23135000,0
211,SAQUING'S CLINIC,Private, ,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,BAMBANG,Without License,0,,16.384616,121.10623100000001,,25004000,0
212,ISABELA UNITED DOCTORS MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Isabela,CAUAYAN,With License,Level 2,,16.9487993,121.7717422,,23108000,0
213,RICAFORT CLINIC,Private, ,REGION II (CAGAYAN VALLEY),Isabela,SAN MATEO,Without License,0,,16.8796241,121.58480279999999,,23132000,0
214,INDIGINEOUS PEOPLES HOSPITAL FOUNDATION OF THE DIOCESE OF BAYOMBONG INCORPORATED,Private,,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,ARITAO,With License,Level 1,15.0,16.3040466,121.0415871,,25002000,0
215,"GRUPO MEDICO DE DIOS, INC.",Private,,REGION II (CAGAYAN VALLEY),Cagayan,CAMALANIUGAN,With License,Level 2,33.0,18.260718,121.703098,,21510000,0
216,DIVINE MERCY WELLNESS CENTER,Private,,REGION II (CAGAYAN VALLEY),Cagayan,TUGUEGARAO,With License,Level 2,100.0,17.61101,121.727006,,21529000,0
217,"ISABELA SOUTH SPECIALISTS HOSPITAL, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,ECHAGUE,With License,Level 1,75.0,16.696089999999998,121.64232920000002,,23112000,0
218,"SAN MATEO MULTICARE HOSPITAL, INC.",Private,,REGION II (CAGAYAN VALLEY),Isabela,SAN MATEO,With License,Level 1,20.0,16.879251999999997,121.58671299999999,,23132000,0
219,SANTIAGO MEDICAL CITY,Private,,REGION II (CAGAYAN VALLEY),Isabela,SANTIAGO,With License,Level 2,109.0,16.7282833,121.5498456,,23135000,0
220,APAYAO CAGAYAN MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Cagayan,ABULUG,With License,Level 1,50.0,18.345663300000002,121.40107979999999,,21501000,0
221,PROVIDERS MULTI-PURPOSE COOPERATIVE MEDICAL CENTER,Private,,REGION II (CAGAYAN VALLEY),Isabela,NAGUILIAN,With License,Level 1,92.0,17.0215729,121.85361440000001,,23120000,0
222,"SALUBRIS, INC.",Private,,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,SOLANO,With License,Level 2,100.0,16.5219976,121.1936422,,25013000,0
223,"DR. YANGA'S HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,BOCAUE,With License,Level 1,,14.796463399999999,120.92487690000002,,31404000,0
224,DIOSDADO P. MACAPAGAL MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,GUAGUA,With License,Level 1,75.0,14.9854777,120.62261940000002,,35407000,0
225,DR. EMIGDIO C. CRUZ SR. MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,ARAYAT,With License,Level 1,25.0,15.1643221,120.7780298,,35403000,0
226,GAPAN DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Nueva Ecija,GAPAN,With License,Level 1,25.0,15.291153699999999,120.9507918,,34908000,0
227,TARLAC PROVINCIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 3,408.0,15.4907929,120.5915393,,36916000,0
228,JOSE B. LINGAD MEMORIAL REGIONAL HOSPITAL,Government,Department Of Health,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,With License,Level 3,250.0,15.034531,120.68465790000002,,35416000,0
229,JAMES L. GORDON MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,With License,Level 3,270.0,14.8272858,120.2802413,,37107000,0
230,DR. PAULINO J. GARCIA MEMORIAL RESEARCH AND MEDICAL CENTER,Government,Department Of Health,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 3,400.0,15.489413699999998,120.9727529,,34903000,0
231,ED & TITA CRUZ MATERNITY AND SURGICAL HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,SANTA MARIA,Without License,0,,37.069285799999996,-94.4935676,,31423000,0
232,SAN DIEGO GENERAL HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,Without License,0,,14.886961,120.86663600000001,,31417000,0
233,APALIT DOCTORS HOSPITAL INC.,Private,,REGION III (CENTRAL LUZON),Pampanga,APALIT,With License,Level 1,,14.9524,120.76378600000001,,35402000,0
234,ARAYAT MEDICAL AND MATERNITY HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Pampanga,ARAYAT,Without License,0,,15.165920999999999,120.78021499999998,,35403000,0
235,NODADO GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,NORZAGARAY,With License,Level 1,15.0,14.8582899,121.08452390000001,,31413000,0
236,PLARIDEL COUNTY HOSPITAL,Private, ,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,0,,14.88006,120.864429,,31417000,0
237,SANTISSIMA TRINIDAD HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,15.0,14.870999999999999,120.82139,,31410000,0
238,MARY THE QUEEN MATERNITY AND GENERAL HOSPITAL FOUNDATION INC.,Private, ,REGION III (CENTRAL LUZON),Bulacan,PLARIDEL,With License,0,,14.885779000000001,120.8447487,,31417000,0
239,DIVINE MERCY HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,BAMBAN,With License,Level 1,,15.271759900000001,120.560799,,36902000,0
240,GONZALES GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,SAN LEONARDO,With License,Level 1,,15.366776999999999,120.94043400000001,,34927000,0
241,SALVADOR GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,CAMILING,With License,Level 1,20.0,15.690338199999998,120.40578319999999,,36903000,0
242,THE LORD'S HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MEYCAUAYAN,With License,Level 1,,14.737159,120.95792800000001,,31412000,0
243,ROMEL CRUZ HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,MALOLOS,With License,Level 1,32.0,14.811002100000001,120.8424096,,31410000,0
244,"ROSARIO MEMORIAL HOSPITAL OF GUAGUA, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,GUAGUA,With License,Level 1,30.0,14.9666682,120.63177959999999,,35407000,0
245,RIDON'S ST. JUDE MEDICAL CENTER,Private,,REGION III (CENTRAL LUZON),Zambales,OLONGAPO,With License,Level 1,39.0,14.836203,120.286596,,37107000,0
246,"CABIAO GENERAL HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Nueva Ecija,CABIAO,With License,Level 1,,15.260541,120.86483,,34904000,0
247,STA. CRUZ HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,CALUMPIT,With License,Level 1,,14.917075,120.76698700000001,,31407000,0
248,"RUGAY GENERAL HOSPITAL, INC.",Private,,REGION III (CENTRAL LUZON),Bulacan,BALIUAG,With License,Level 1,53.0,14.968519199999998,120.913793,,31403000,0
249,DEE HWA LIONG FOUNDATION MEDICAL CENTER,Private, ,REGION III (CENTRAL LUZON),Pampanga,MABALACAT,Without License,0,,15.177428699999998,120.6236571,,35409000,0
250,DR. GLORIA D. LACSON GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,SAN LEONARDO,With License,Level 1,,15.3179682,120.9371682,,34927000,0
251,MENDOZA GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Bulacan,SANTA MARIA,With License,Level 1,50.0,14.821024,120.963099,,31423000,0
252,"NUEVA ECIJA GOOD SAMARITAN HEALTH CARE SYSTEM, INC. (EXT.)",Private,,REGION III (CENTRAL LUZON),Nueva Ecija,GAPAN,With License,Level 2,67.0,15.306861999999999,120.94615800000001,,34908000,0
253,RAMOS GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Tarlac,TARLAC,With License,Level 2,90.0,15.484982999999998,120.5931144,,36916000,0
254,NUEVA ECIJA DOCTORS HOSPITAL INC.,Private,,REGION III (CENTRAL LUZON),Nueva Ecija,CABANATUAN,With License,Level 3,133.0,15.457642000000002,120.94908840000001,,34903000,0
255,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,Government,Department Of Health,REGION III (CENTRAL LUZON),Bataan,BALANGA,With License,Level 3,214.0,14.678530499999999,120.53042830000001,,30803000,0
256,BULACAN MEDICAL MISSION GROUP PHARMACY AND HOSPITAL - TURO BRANCH,Private,,REGION III (CENTRAL LUZON),Bulacan,BOCAUE,With License,Level 1,,14.80761,120.9406385,,31404000,0
257,CALUMPIT DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,CALUMPIT,With License,Level 1,25.0,14.907497,120.77108500000001,,31407000,0
258,DOMINGO B. FLORES DISTRICT HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Pampanga,MACABEBE,With License,Level 1,25.0,14.893177,120.71721200000002,,35410000,0
259,DR. EUTIQUIO LL. ATANACIO JR. MEMORIAL HOSPITAL,Private,Local Government Unit,REGION III (CENTRAL LUZON),Tarlac,CONCEPCION,With License,Level 1,,15.34114,120.688884,,36905000,0
260,ROGACIANO M. MERCADO MEMORIAL HOSPITAL,Government,Local Government Unit,REGION III (CENTRAL LUZON),Bulacan,SANTA MARIA,With License,Level 1,150.0,14.818848999999998,120.95976100000001,,31423000,0
261,MUÑOZ CLINIC,Private, ,REGION III (CENTRAL LUZON),Pampanga,SAN FERNANDO,Without License,0,,15.019675,120.700216,,35416000,0
262,MAHESECO MULTIPURPOSE COOPERATIVE,Private,,REGION III (CENTRAL LUZON),Bataan,MARIVELES,With License,Level 1,12.0,14.436909,120.487908,,30807000,0
263,E.D. LIM MATERNITY AND GENERAL HOSPITAL,Private,,REGION III (CENTRAL LUZON),Pampanga,APALIT,With License,Level 1,17.0,14.944587699999998,120.7580315,,35402000,0
264,"HOLY FAMILY MEDICAL CENTER, INC.",Private,,REGION III (CENTRAL LUZON),Pampanga,ANGELES,With License,Level 1,,15.1400254,120.59432360000001,,35401000,0
